description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
,1,80,Used,0,None,Black,16,iPad 1,1,10963
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,193,Used,1,Verizon,White,64,iPad 2,0,10964
Excellent condition.,1,99,Used,1,Unknown,Space Gray,64,iPad Air,1,10965
"Includes iPad only. Does not include USB/power cord, additional accessories or box. iPad is clean ",1,0.99,Used,0,None,Black,16,iPad 4,1,10966
"Used, looks great and in excellent condition. very minor signs of wear.",1,399.99,Used,0,None,Unknown,16,iPad Air 2,0,10967
"Item is not in the original box. Shows signs of use, guaranteed to be in working condition",0,174.99,Seller refurbished,1,AT&T,White,64,iPad 2,0,10968
Will contain minor scratches and other blemishes.,0,159.99,Used,0,None,Unknown,16,iPad mini,0,10969
In great condition with no scratches on screen.,1,259.99,Used,0,None,Black,16,iPad 4,0,10970
,0,175,Used,1,Verizon,Black,32,iPad 2,1,10971
Very Good Condition,1,199.99,Used,0,None,Unknown,16,iPad mini,0,10972
,1,180,Used,0,None,White,16,iPad mini 2,0,10973
,1,200,Used,0,None,Black,16,iPad 3,1,10974
,0,359,New,0,None,White,16,iPad mini 3,0,10975
,1,350,Used,1,Verizon,Space Gray,64,iPad Air 2,1,10976
Out of retail box. There&#039;s a small scratch and a smudge/mark down the length of screen.  Neither of ,0,279.99,New other (see details),1,Verizon,Black,16,iPad 4,0,10977
,0,139.5,Used,Unknown,Unknown,Black,16,iPad 2,0,10978
,1,549.99,New,0,None,Space Gray,64,iPad Air 2,0,10979
Tablet is Good Working. Has been reset to the factory settings.,0,334.99,Used,1,Unknown,Unknown,16,iPad Air,0,10980
VERY CLEAN!LIKE NEW!ONE TINY DENT IN ONE OF THE CORNERS BUT LOOKS ALMOST NEW!SCREEN SPARKILING ,0,279.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,10981
,0,900,Used,1,Unknown,Unknown,128,iPad Air 2,0,10982
,0,510,Used,0,None,Space Gray,64,iPad Air 2,0,10983
,0,235,Used,1,Verizon,White,64,iPad 2,0,10984
Some minor to moderate signs of use ranging from light scratches to heavy wear and tear.,0,389.99,Used,1,T-Mobile,Unknown,64,iPad Air,0,10985
Brand-new only broke the shrinkwrap to make sure that it was for T-Mobile.,0,439.98,New other (see details),Unknown,Unknown,Unknown,Unknown,Unknown,1,10986
,0,462.89,New,0,None,Space Gray,32,iPad Air,0,10987
,1,0.99,Used,0,None,Space Gray,128,iPad mini 3,1,10988
,0,299.99,New,0,None,Unknown,16,iPad mini 3,0,10989
,0,239.99,Used,0,None,Black,16,iPad 3,0,10990
,0,300,Used,0,None,White,16,Unknown,1,10991
Up for auction is this APPLE iPad 1st Gen Model MB292LL 16 GB of Memory Storage 9.7&#034; Touchscreen ,1,110,Used,0,None,White,16,iPad 2,0,10992
,1,299.99,Used,Unknown,Unknown,White,Unknown,Unknown,1,10993
Used very little - charger not included,0,150,Used,0,None,Black,16,iPad 2,0,10994
,0,379.95,New,0,None,Space Gray,16,iPad mini 3,0,10995
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,227,Used,1,AT&T,White,16,iPad 1,0,10996
EXCELLENT,1,99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,10997
FULLY FUNCTIONAL,1,0.99,Seller refurbished,1,AT&T,Black,16,iPad 1,1,10998
,0,387,New other (see details),0,None,Space Gray,16,iPad mini 2,0,10999
,1,550,New,0,None,Gold,64,Unknown,0,11000
99%,0,249.99,Used,0,None,Space Gray,16,Unknown,0,11001
,0,179.95,Used,1,Verizon,Black,64,iPad 2,0,11002
,0,589.99,New,1,Sprint,Space Gray,64,iPad Air,0,11003
"Barely used, no scratches",1,169.99,Used,0,None,Black,Unknown,iPad 2,0,11004
,0,176.27,Used,1,AT&T,Unknown,16,iPad mini,1,11005
,1,339,Used,0,None,Black,16,iPad 4,0,11006
"Ipad like New with all accessories and documents , Buy 1 get 1 gift",0,80,Used,0,None,Unknown,16,iPad 1,0,11007
"Fully functional, no issues with it. Just have newer models now and want to sell. This model has the ",0,165,Used,0,None,Unknown,16,iPad 1,0,11008
Well Kept. Placed in a binder/protector as soon as it came off the box. Used only for occasional ,1,130,Used,0,None,Unknown,16,iPad 1,0,11009
,0,388.3,Used,1,AT&T,Unknown,64,iPad mini,0,11010
Screen protector on day one when purchased.  Small scuffs on the sides of tablet.  It is fully ,0,179.95,Used,0,None,Black,16,iPad 2,0,11011
The Apple iPad is in good condition. The ESN is good on the tablet.,0,429.99,Used,1,AT&T,Space Gray,64,iPad Air,0,11012
,0,500,New,1,Unknown,Unknown,16,iPad mini 3,0,11013
"Brand new Ipad Mini, still in plastic wrap and box provided by hospital with cords and new unopened ",0,460,New other (see details),0,None,Space Gray,64,iPad mini 3,0,11014
This TAB is in mint condition. TAB tested 100% fully functional with a clean ESN.,0,173,Used,0,None,White,16,iPad 2,1,11015
"Barely used, GREAT CONDITION!! No dents or scratches",1,220,Seller refurbished,0,None,White,64,iPad mini,0,11016
,1,245,Used,0,None,Space Gray,16,iPad Air,1,11017
"INTERNATIONAL BUYERS/FREIGHT FORWARDERS: WE ARE NOT ABLE TO SHIP INTERNATIONALLY, NOR TO FREIGHT ",0,249.99,Used,1,AT&T,Black,32,iPad 4,0,11018
,0,720.12,Used,1,AT&T,Unknown,64,iPad mini,0,11019
"Device is in Great Condition.  Grade A, However it does not come  in Original Packaging.  Comes in ",0,300,Manufacturer refurbished,0,None,White,16,iPad 4,0,11020
Also Includes life proof case charger and wall adapter,0,500,Used,1,T-Mobile,Unknown,16,iPad mini 2,0,11021
"Used, but in great condition! Perfect screen and in 100&amp;#37; working condition! One major chip/crack ",0,289.99,Used,1,Verizon,White,32,iPad 2,0,11022
,0,200,Used,0,None,White,16,iPad mini,0,11023
,1,298.97,Used,1,AT&T,White,64,iPad 2,0,11024
,0,160,Used,0,None,Black,16,iPad 2,1,11025
This item is in Good cosmetic condition. It may have long scratches and wear from regular use on the ,0,229.99,Used,1,Verizon,White,32,iPad 3,1,11026
Excellent. Bought in April,1,149.95,Used,0,None,Space Gray,16,iPad mini,1,11027
,1,24.99,Used,0,None,Space Gray,32,iPad Air,1,11028
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,108,Used,1,AT&T,White,32,Unknown,0,11029
,1,99.99,Used,0,None,White,128,iPad 4,1,11030
Item has Original packaging. Original packaging has stickers on box. Device has light scratches and ,0,229.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11031
,0,234.99,Used,0,None,Black,16,iPad 2,0,11032
,1,152,Used,0,None,Black,16,iPad 2,0,11033
display unit,0,699,New other (see details),1,Unknown,Unknown,128,iPad Air,0,11034
,0,475,New,0,None,Unknown,16,iPad Air 2,0,11035
,0,209,Used,0,None,Black,16,iPad 2,1,11036
,0,90,Used,0,None,Unknown,32,iPad 1,0,11037
,0,85.95,Used,0,None,Unknown,16,iPad 1,0,11038
See Images and Description!,1,0.99,Used,0,None,Space Gray,16,iPad mini,1,11039
,0,320.99,Used,0,None,White,16,iPad Air,0,11040
This iPad is in excellent like new condition and functions properly.,0,339,Used,0,None,Unknown,16,iPad Air,0,11041
,1,528,New,1,Unknown,Unknown,128,iPad Air 2,1,11042
Good Condition! Fully Functional!,1,0.99,Seller refurbished,0,None,Black,32,iPad 1,1,11043
"In great working condition, Power button does not work, See description, iCloud is unlocked",0,146.99,Used,0,None,White,16,iPad 2,0,11044
,0,539.95,New,0,None,Unknown,128,iPad Air,0,11045
This TAB is in average condition with some scratches on the housing or screen (does not affect ,0,92,Used,1,AT&T,White,32,iPad 1,0,11046
Few minor scratches on iPad body/bezel and/or screen.,0,199.99,Seller refurbished,0,None,Unknown,16,iPad 2,0,11047
"RESTORED TO FACTORY, BACKLIT BLUETOOTH KEYBOARD, CLEAN ESN",0,160,Used,1,Verizon,Unknown,16,iPad 2,0,11048
,0,349,New,0,None,Unknown,16,iPad Air,1,11049
,0,84.99,Used,0,None,Unknown,16,iPad 1,0,11050
,0,225,Used,0,None,Black,16,iPad 2,0,11051
,1,180,Used,0,None,Unknown,64,iPad 1,0,11052
,1,450,Used,1,Unknown,Unknown,64,iPad Air 2,1,11053
,1,100,Used,0,None,Unknown,64,iPad mini 2,1,11054
,1,100,New,0,None,White,16,Unknown,1,11055
,1,250,New,Unknown,Unknown,Space Gray,16,Unknown,1,11056
,1,300,New other (see details),1,Other,Space Gray,32,iPad 5,1,11057
,0,517.89,New other (see details),1,AT&T,White,32,iPad Air,0,11058
,0,500,New,0,None,Unknown,64,iPad Air 2,1,11059
,0,397.75,Used,1,Verizon,Unknown,32,iPad mini,0,11060
,0,200,Used,0,None,White,16,iPad mini,1,11061
"Grade B Condition, no screen cracks, perfectly functioning.",0,239,Seller refurbished,1,Sprint,Unknown,16,iPad mini,1,11062
Perfect working order,0,259.99,Seller refurbished,0,None,Unknown,16,iPad 4,0,11063
,1,250,New,0,None,Unknown,16,iPad Air 2,1,11064
,1,429.99,New,0,None,Gold,16,iPad Air 2,0,11065
Used,1,99.99,Used,0,None,Gold,16,iPad Air 2,1,11066
,1,549.99,New,0,None,Gold,64,iPad Air 2,0,11067
,0,294.99,Used,0,None,White,32,iPad 2,0,11068
Grade C  - Fully functional device and works great. No passcode lock and clean IMEI/ESN. Grade C ,0,189.99,Used,1,Verizon,Black,64,iPad 2,0,11069
,0,398.99,New,0,None,White,16,iPad mini,0,11070
,0,429.99,New,1,AT&T,Unknown,32,iPad mini,0,11071
"Definite must-have. This Apple iPad Mini is pre-owned and has some signs of use, there is a nick/ ",1,199,Used,1,AT&T,Unknown,64,iPad mini,0,11072
,0,495.49,New,0,None,White,32,iPad Air,0,11073
"Item is not in the original box. Shows signs of use, guaranteed to be in 100% working condition.",0,249.59,Seller refurbished,1,Unknown,Black,16,iPad 4,0,11074
Excellent,0,250,Used,1,Verizon,White,16,iPad 3,0,11075
This phone is in good condition with minor scratches on the housing or screen (does not affect ,0,99,Used,1,AT&T,White,32,iPad 1,0,11076
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,108,Used,1,AT&T,White,32,Unknown,0,11077
Mint condition,1,225,Used,0,None,White,16,iPad mini 2,0,11078
,0,350,Used,0,None,Unknown,16,iPad 4,0,11079
,0,82.98,Used,0,None,Unknown,16,iPad 1,0,11080
This item is in full working condition with all necessary charging components. Components may be ,0,190.45,Used,1,AT&T,Unknown,32,iPad 2,0,11081
This phone is in good condition with minor scratches on the housing or screen (does not affect ,0,101,Used,1,AT&T,White,64,iPad 1,0,11082
,0,415,Used,1,T-Mobile,Unknown,16,iPad Air,0,11083
,0,469,New,0,None,White,128,iPad mini 2,0,11084
Works great! No scratches on the screen or front. Camera is in good working condition.  The back has ,1,0.99,Used,1,AT&T,Unknown,32,iPad mini,1,11085
,0,249.99,Used,0,None,White,Unknown,iPad 4,1,11086
,0,227.88,Manufacturer refurbished,0,None,Unknown,16,iPad mini,0,11087
,0,350,New,Unknown,Unknown,Space Gray,16,iPad mini Retina,0,11088
It works perfect. Just minor scuffs.,0,199.97,Used,0,None,Unknown,32,iPad mini,0,11089
"This device is NEW, and its in Perfect shape, no scratch, dings, or broken screens. Grade A device.",0,280,New other (see details),0,None,White,16,iPad mini 2,0,11090
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,172,Used,0,None,White,32,iPad 2,0,11091
"Definite must-have. This Apple iPad Mini is pre-owned and has some signs of use, there is a nick/ ",1,199,Used,1,AT&T,Unknown,64,iPad mini,0,11092
Like New Condition!,0,199.99,Used,0,None,Space Gray,16,iPad mini,0,11093
,0,449,New,0,None,Gold,16,iPad Air 2,0,11094
In great condition with no scratches on screen.,1,349.99,Used,0,None,Black,16,iPad Air 2,0,11095
iPAD ONLY.EXCELLENT USED CONDITION.VERY LIGHT WEAR AND TEAR ONLY.,1,0.99,Used,1,T-Mobile,Black,16,iPad mini 2,1,11096
Excellent condition! Minimum use and has been kept in a smart case since purchase.,1,300,Used,1,Verizon,Black,32,iPad 3,0,11097
,0,310,Used,1,AT&T,Unknown,16,iPad mini 2,0,11098
"The iPad is in great, working condition with very little wear on the case. The screen has no ",1,1,Used,1,AT&T,Unknown,16,iPad Air,1,11099
Good,1,0.99,Used,0,None,Unknown,64,iPad 3,1,11100
,0,215,Used,1,Verizon,Unknown,16,iPad 4,1,11101
,1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11102
,0,170,Used,1,AT&T,Black,16,iPad 2,0,11103
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, iCloud Clear, ",0,257.83,Seller refurbished,0,None,Space Gray,16,iPad Air,0,11104
Like New Condition Apple iPad Mini 3 MGYE2LL/A 16GB Wi-Fi Gold Version Tablet/eReader. Includes USB ,0,303.67,Used,0,None,Gold,16,iPad mini Retina,0,11105
,0,258.88,New,0,None,Black,16,iPad mini,0,11106
"Comes with original box, manuals and unused Apple stickers (2), wall charger, and USB cable.",0,160,Used,0,None,Unknown,16,iPad 2,1,11107
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,196,Used,Unknown,Unknown,White,16,iPad 3,0,11108
Contact us with any questions!,0,174.99,Used,0,None,Black,16,iPad 1,0,11109
,0,550,New,1,Unknown,Space Gray,16,iPad Air 2,0,11110
,0,100,Used,0,None,Unknown,16,iPad 1,0,11111
,0,424.95,Used,0,None,White,128,iPad Air,0,11112
Item is in excellent condition and been in a case since day one.,0,500,Used,0,None,Black,128,iPad 4,0,11113
,0,120.02,Used,0,None,Unknown,64,iPad 1,0,11114
"New, sealed, box not included",1,0.99,New other (see details),0,None,Unknown,128,iPad Air 2,1,11115
"AS SEEN IN THE FRONT FACING PHOTO, THERE IS A VISIBLE SCRATCH.  HOWEVER, THAT SCRATCH IS ON THE ",0,110,Used,0,None,White,16,iPad 1,0,11116
,1,25,Used,0,None,Space Gray,16,iPad mini 2,1,11117
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches and ,0,469.99,Used,1,AT&T,Unknown,128,iPad Air,0,11118
4 of 5. This item is gently used. The item shows minor signs of wear and tear including scuff marks ,0,389.99,Used,Unknown,Unknown,Unknown,Unknown,iPad mini 3,1,11119
,0,325,Used,0,None,Unknown,16,iPad 4,0,11120
"Bought for one day and removed iPad plastic cover, never used. In original box with all accessories!",1,426.99,New other (see details),0,None,Gold,64,iPad mini 3,0,11121
This iPad mini is in very nice condition.,1,0.99,Used,1,Unknown,Space Gray,64,iPad mini,1,11122
"Sale includes 64GB WiFi + 4G (for Verizon) Apple iPad Air 1st Gen, original Apple Lightning-to-USB ",0,449.99,Used,1,Verizon,Unknown,64,iPad Air,0,11123
"iPad was used for 9 month it have normal wear and tear,Please look at all the pictures make sure you ",0,198,Used,0,None,Unknown,16,iPad mini,0,11124
Excellent condition,0,319.95,Used,0,None,White,32,iPad 3,1,11125
,0,419.99,New,1,AT&T,White,16,iPad 4,0,11126
"Only used for a few months has always had a screen protector and case on it, so it is flawless!",1,150,Used,0,None,Space Gray,16,Unknown,0,11127
,1,400,New,1,Unknown,Unknown,16,iPad Air 2,1,11128
"Brand new, opened it but realized I don&#039;t need it. Purchased at best buy and still have the receipt ",1,350,New other (see details),0,None,Unknown,64,iPad Air 2,1,11129
,0,495.99,New,0,None,Space Gray,16,iPad Air 2,0,11130
,1,500,New,1,Unknown,Space Gray,64,iPad Air 2,1,11131
,0,339,Used,0,None,White,64,iPad Air,1,11132
This iPad is in excellent condition. It has never been dropped or had water on it. A screen ,0,300,Used,Unknown,Unknown,Unknown,64,iPad 3,0,11133
This item has been kept in mint condition. Always used a Smart Cover and kept it in a case as well. ,1,99,Used,Unknown,Unknown,Unknown,32,iPad 3,1,11134
"I AM SELLING THIS UNIT AS IS-NO REFUNDS, RETURNS OR GUARANTEES-IT HAS A BLOCKED/BAD IMEI.",0,289.95,Used,1,T-Mobile,Black,16,iPad mini 2,0,11135
"Overall very good condition, minor scratches on the front and back.",0,549.95,Used,1,Unknown,Space Gray,64,iPad Air 2,0,11136
This TAB is in good condition with minor scratches on the housing or screen (does not affect ,0,229,Used,1,Verizon,White,32,iPad 3,0,11137
Like new - Working perfectly,1,259,Used,Unknown,Unknown,White,16,Unknown,0,11138
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,149.97,Used,0,None,Unknown,16,iPad 2,0,11139
,0,649.95,New,1,Sprint,White,64,iPad Air 2,0,11140
,0,615.99,New,0,None,Space Gray,64,iPad Air 2,0,11141
"Opened box, no cosmetic damages, functional, includes accessories in retail package. Please contact ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11142
"Heavily Used condition. 100% Fully Functional, Clean IMEI &amp; iCloud, professionally restored, ",0,270.99,Used,1,AT&T,Space Gray,16,iPad Air,0,11143
,1,175,Used,0,None,White,32,iPad mini 2,1,11144
In very good conditionHas speigen tempered glass preinstalled and a speigen case. It comes with ,0,430,Used,0,None,Unknown,128,iPad mini 2,0,11145
,0,379.99,New,0,None,Black,16,iPad Air,0,11146
"Used in Excellent Condition. Included AC Power Adapter, USB Cable No Original Box.",0,299.95,Used,Unknown,Unknown,White,64,iPad mini,0,11147
2 scratches. In good condition,0,600,Used,1,AT&T,Black,128,iPad 3,0,11148
,0,275,Used,0,None,Unknown,16,iPad 4,0,11149
,0,585.99,New,1,Unknown,Space Gray,16,iPad Air 2,0,11150
,0,550,New,1,Unknown,Unknown,16,iPad Air 2,0,11151
USED IN MINT CONDITION,0,245,Used,1,AT&T,White,32,iPad 1,0,11152
,0,180,Used,0,None,White,16,iPad 3,0,11153
,0,329.99,Used,0,None,Unknown,16,iPad Air,0,11154
,0,250,Used,1,Unknown,Black,64,iPad 1,0,11155
,1,299.99,New,0,None,Gold,64,iPad Air 2,0,11156
,1,165,Used,0,None,White,16,iPad 2,0,11157
No defects.  Comes in a portfolio case which has protected device.  Has minimal scratches on edges,0,175,Used,Unknown,Unknown,Black,32,iPad 2,1,11158
,0,260,Used,0,None,Black,16,Unknown,0,11159
An item that has been restored to working order by the eBay seller or a third party not approved by ,0,340,Seller refurbished,1,AT&T,White,32,iPad 4,0,11160
,0,174.99,Used,0,None,Unknown,16,iPad 2,0,11161
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,388.99,Seller refurbished,1,T-Mobile,Space Gray,32,iPad Air,0,11162
"Device is in GOOD used cosmetic condition with normal wear, engraving on back. Device is in 100% ",0,90,Used,0,None,Unknown,16,iPad 1,0,11163
Grade A refurbished.  Opened / unsealed.  No cosmetic defects noted.  Consumer return.  Tested to be ,0,349.99,Manufacturer refurbished,0,None,Black,64,iPad mini 2,0,11164
,1,400,New,0,None,Space Gray,64,iPad Air 2,1,11165
Immaculate Condition... In a Box,1,299.99,Used,0,None,Unknown,16,iPad Air,0,11166
,0,375,Used,0,None,White,64,iPad mini 2,1,11167
"*FREE* Same-Day Ship | Factory Refurbished | 90-Day Warranty | 100% Functional, Includes All Major ",0,443.09,Manufacturer refurbished,1,T-Mobile,Space Gray,32,iPad Air,0,11168
,0,155,Used,0,None,Unknown,16,iPad mini,0,11169
,0,128,Used,0,None,White,32,iPad 2,0,11170
,0,275,Used,0,None,Space Gray,16,iPad mini 2,0,11171
IPAD mini .. not sure of what generation it can be.. selling as is or best offer..had a crack but ,0,149.99,Used,Unknown,Unknown,Unknown,16,Unknown,0,11172
,0,149.59,Used,0,None,Unknown,16,iPad mini,1,11173
Great Condition no scratches on screen,0,209.99,Used,0,None,White,16,iPad mini,0,11174
great&lt;br&gt;,1,290,Used,0,None,White,16,iPad mini,0,11175
,0,789,New,1,Unknown,Space Gray,128,iPad Air 2,0,11176
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,224,Used,1,AT&T,White,32,Unknown,0,11177
"iPad looks and works great. Screen is near mint, back and edges will  have some scuffing, scratches, ",0,239.88,Seller refurbished,0,None,Unknown,64,iPad 3,0,11178
,0,252.88,New,0,None,Black,16,iPad mini,0,11179
iPad shows essentially no signs of use. Smart cover has minimal signs of use.,1,0.99,Used,0,None,Space Gray,32,iPad Air,1,11180
,1,159.99,Used,0,None,Black,16,iPad mini,0,11181
,0,639,New,0,None,Unknown,128,iPad Air 2,0,11182
"*** Like new, Apple iPad Air 2 Gold 128GB. Comes with AC adapter and lightning cable.",0,619.99,Seller refurbished,0,None,Space Gray,128,iPad Air 2,0,11183
,0,499.99,New,0,None,Gold,64,iPad mini 3,0,11184
,0,429.95,Used,1,Sprint,White,16,iPad Air 2,0,11185
,0,325,New,0,None,Space Gray,16,iPad mini 3,1,11186
,0,535,New,0,None,White,16,Unknown,0,11187
,0,289.99,New,0,None,White,16,iPad mini,0,11188
,0,454.68,New,0,None,White,16,iPad Air 2,0,11189
iPad has been restored to the factory default settings.,0,104.7,Used,0,None,Unknown,32,iPad 1,1,11190
,0,649.99,New,0,None,Unknown,64,iPad 3,0,11191
,0,450,New,0,None,Gold,16,iPad Air 2,0,11192
,0,155,Used,0,None,Unknown,16,iPad mini,0,11193
,0,310,Used,1,Verizon,Black,64,iPad mini,0,11194
like new&lt;br&gt;,1,250,Used,Unknown,AT&T,Unknown,32,Unknown,0,11195
This iPad 2 is used and is in good working order. It has scuffs/scratches from general use and there ,0,149.99,Used,0,None,Black,16,iPad 2,1,11196
,0,679.95,Seller refurbished,1,Unknown,Unknown,128,iPad Air 2,0,11197
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,396,Used,0,None,White,64,iPad 2,0,11198
,1,0.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,1,11199
,0,379.99,Used,0,None,Space Gray,16,iPad Air 2,1,11200
Device is in GOOD used cosmetic condition with normal scratches and wear. Device is in 100% WORKING ,0,105,Used,1,AT&T,Unknown,32,iPad 1,0,11201
Used Apple Ipad 64 gig 1st generation in Great working condition and 100% functional SIM card AT&amp;T ,0,119,Seller refurbished,0,None,Black,32,iPad 1,0,11202
THIS IPAD LOOKS EXCELLENT !! IT IS UNLOCKED FOR DATA USAGE EXCEPT FOR SPRINT/TMOBILE.  IT WILL WORK ,0,379.99,Used,1,Unknown,White,16,iPad mini 2,0,11203
,0,15,Used,0,None,Black,16,Unknown,0,11204
,0,549,New,0,None,Space Gray,64,iPad Air 2,0,11205
,0,439.98,New,0,None,White,16,iPad Air 2,0,11206
#6428,0,124.95,Used,0,None,Unknown,16,iPad 1,0,11207
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN / IMEI ",0,263.99,Seller refurbished,0,None,White,32,iPad 4,0,11208
But in new condition no dents or scratches.,0,400,Used,1,AT&T,Unknown,32,iPad mini,0,11209
,0,575,Manufacturer refurbished,0,None,Gold,128,iPad mini 3,0,11210
,0,454,New,0,None,Space Gray,16,iPad Air 2,0,11211
,0,450,New,0,None,Unknown,16,iPad Air 2,1,11212
"Lightly Used Not Abused, Very Nice Used Condition with Minor Signs of Wear.",1,0.99,Used,0,None,Space Gray,16,iPad mini,1,11213
,0,749,New,1,T-Mobile,Unknown,128,iPad Air 2,0,11214
"This iPad is new but open box. Exterior plastic wrap is off, interior wrap on iPad is off.",0,550,New other (see details),1,Unknown,Gold,64,iPad mini 3,0,11215
,1,300,New,0,None,Gold,16,iPad mini 3,0,11216
,0,624.99,New other (see details),0,None,Gold,128,iPad Air 2,1,11217
,0,349.99,Used,1,Sprint,Unknown,64,iPad Air,1,11218
Excellent Condition.  Barely used.  No scratches or dents.,0,430,Used,1,AT&T,Unknown,32,iPad Air,0,11219
"Brand new, iPad untouched and still wrapped in original plastic inside box. Opened only to verify ",0,449,New other (see details),0,None,White,16,iPad Air 2,0,11220
Great Working 32GB iPad Air Wifi - Space Gray - Please read full description.,1,279,Used,0,None,Space Gray,32,iPad Air,0,11221
In like new condition!,0,367.97,Used,1,AT&T,Unknown,32,iPad 4,0,11222
Good condition and functional 32GB iPad Mini Wifi - Black. Please read full discription,1,179,Used,0,None,Black,32,iPad mini,0,11223
,0,679.99,New,0,None,Unknown,128,iPad Air 2,0,11224
The Apple iPad is in great condition.,0,499.99,Used,0,None,Gold,64,iPad Air 2,1,11225
,0,375,Seller refurbished,1,Unknown,Gold,16,iPad mini 3,0,11226
This item is in perfect working condition with no visible wear. Delivered in original manufacturer ,0,558.17,Used,0,None,Unknown,16,iPad Air,0,11227
,0,159.94,Seller refurbished,0,None,White,64,iPad 2,0,11228
,0,425,Used,1,AT&T,Unknown,32,iPad 4,0,11229
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,248,Used,1,Verizon,White,32,iPad 3,0,11230
,1,0.99,New,1,Verizon,Unknown,32,iPad Air,1,11231
,1,200,Used,0,None,White,32,iPad 2,0,11232
MINT CONDITION!,1,199.99,Used,Unknown,Other,Gold,16,iPad Air 2,1,11233
,0,80,Used,0,None,Black,16,iPad 1,0,11234
,1,0.99,New other (see details),1,Unknown,Gold,64,iPad Air 2,1,11235
,1,0.99,Used,0,None,Black,16,iPad 4,1,11236
,1,250,Used,1,Verizon,White,32,iPad mini,0,11237
,0,639,New,Unknown,Unknown,Unknown,Unknown,iPad Air 2,0,11238
,1,99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11239
"Professionally inspected, reset and cleaned in very good cosmetic and working condition. Units may ",0,119.99,Used,0,None,Black,16,iPad 1,0,11240
,0,100,Used,1,Verizon,White,16,iPad 2,1,11241
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,393,Used,1,Verizon,White,64,iPad 2,0,11242
,1,100,Used,Unknown,Unknown,White,Unknown,Unknown,0,11243
Ipad is in fair condition. Minor scratches on back. Edge around screen is black instead of white.,0,159.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11244
,1,0.99,Used,0,None,Space Gray,16,iPad mini,1,11245
,0,259.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11246
,0,349,New,Unknown,Unknown,Unknown,Unknown,iPad mini 3,0,11247
Minor scratches on iPad body and/or screen.,0,184.99,Seller refurbished,0,None,Black,16,iPad mini,0,11248
,1,0.99,New,0,None,Gold,16,iPad Air 2,1,11249
,1,9.99,New,Unknown,Unknown,Unknown,Unknown,iPad 3,0,11250
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,153.99,Used,0,None,White,32,iPad 2,0,11251
,0,389.99,Used,0,None,White,128,iPad Air,0,11252
,0,384.99,Used,0,None,Black,128,iPad Air,0,11253
,0,579.99,New,1,Unknown,White,16,iPad mini 3,0,11254
,0,599.99,New,1,AT&T,Black,64,iPad Air,0,11255
,1,0.99,Used,1,AT&T,Unknown,32,iPad mini,1,11256
,0,198.98,Used,0,None,Black,16,iPad 2,0,11257
,1,150,Used,Unknown,Unknown,Unknown,32,Unknown,0,11258
"Opened box.  Like new.  Very lightly used for one day, but changed mind to get an iPad with cellular ",0,490.95,Used,0,None,Unknown,16,iPad Air 2,0,11259
its new with 2 week of use,1,260,New other (see details),0,None,Gold,16,iPad Air 2,1,11260
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ,0,179,Used,0,None,White,64,iPad 2,0,11261
,1,575,New,0,None,Gold,64,iPad Air 2,0,11262
"Working. Tested wifi, buttons, sound, charge port. Scratched case. Light scratches on lcd. Does not ",0,200,Used,0,None,White,16,iPad mini,0,11263
,0,670,Used,1,AT&T,Unknown,128,iPad Air,0,11264
,0,380,Used,0,None,Black,64,iPad 3,0,11265
,0,350,Used,1,Unknown,Space Gray,16,Unknown,0,11266
"Professionally refurbished and cleaned in excellent working condition. Units will show signs of use, ",0,215.99,Seller refurbished,0,None,White,32,iPad mini,0,11267
,0,439.99,New,0,None,Gold,16,iPad Air 2,0,11268
